Mass (M_0)    Radius (km)
   1.19233       10.40843
   1.22426       10.37242
   1.25309       10.33655
   1.27925       10.30078
   1.30310       10.26594
   1.32493       10.23131
   1.34497       10.19735
   1.36344       10.16393
   1.38049       10.13134
   1.39629       10.09931
   1.41096       10.06796
   1.42461       10.03742
   1.43733       10.00731
   1.44920        9.97785
   1.46031        9.94902
   1.47071        9.92080
   1.48047        9.89321
   1.48964        9.86603
   1.49826        9.83956
   1.50637        9.81339
   1.51401        9.78782
   1.52123        9.76294
   1.52804        9.73837
   1.53447        9.71422
   1.54055        9.69061
   1.54631        9.66741
   1.55176        9.64475
   1.55693        9.62232
   1.56183        9.60046
   1.56647        9.57887
   1.57088        9.55769
   1.57507        9.53685
   1.57904        9.51629
   1.58282        9.49613
   1.58641        9.47633
   1.58983        9.45683
   1.59308        9.43776
   1.59617        9.41890
   1.59911        9.40037
   1.60191        9.38196
   1.60457        9.36400
   1.60711        9.34625
   1.60952        9.32887
   1.61182        9.31163
   1.61401        9.29469
   1.61609        9.27802
   1.61808        9.26158
   1.61996        9.24534
   1.62176        9.22928
   1.62348        9.21354
   1.62510        9.19793
   1.62665        9.18260
   1.62813        9.16735
   1.62953        9.15249
   1.63086        9.13767
   1.63213        9.12304
   1.63333        9.10874
   1.63448        9.09460
   1.63556        9.08058
   1.63659        9.06668
   1.63757        9.05303
   1.63849        9.03947
   1.63936        9.02614
   1.64019        9.01302
   1.64097        8.99994
   1.64171        8.98705
   1.64241        8.97432
   1.64306        8.96176
   1.64368        8.94933
   1.64426        8.93705
   1.64480        8.92488
   1.64531        8.91283
   1.64578        8.90103
   1.64623        8.88932
   1.64664        8.87769
   1.64702        8.86613
   1.64737        8.85478
   1.64770        8.84349
   1.64800        8.83238
   1.64827        8.82132
   1.64852        8.81043
   1.64874        8.79956
   1.64894        8.78899
   1.64912        8.77829
   1.64927        8.76787
   1.64941        8.75744
   1.64952        8.74729
   1.64962        8.73711
   1.64970        8.72705
   1.64975        8.71697
   1.64979        8.70712
   1.64982        8.69737
   1.64982        8.68771
   1.64982        8.67813
   1.64979        8.66850
   1.64975        8.65908
   1.64970        8.64972
   1.64963        8.64057
   1.64955        8.63134
   1.64946        8.62230
   1.64935        8.61331
